cluster	gene	is.driver	P.vaf	R.vaf	P.ccf	R.ccf	P.ref.count	P.var.count	P.depth	R.ref.count	R.var.count	R.depth	P	R
1	-	FALSE	44.67	42.99	89.34	85.98	1882	1715	3597	2027	1561	3587	44.67	42.99
1	-	FALSE	47.71	41.8	95.42	83.6	2225	2055	4280	1885	1363	3248	47.71	41.8
1	-	FALSE	40.43	41.78	80.86	83.56	613	530	1143	334	276	609	40.43	41.78
1	-	FALSE	49.66	44.96	99.32	89.92	1382	1386	2768	1589	1272	2860	49.66	44.96
1	-	FALSE	52.68	46.33	105.36	92.66	2505	2677	5183	2309	2090	4399	52.68	46.33
1	-	FALSE	46.37	48.6	92.74	97.2	1809	1819	3628	1276	1008	2284	46.37	48.6
1	-	FALSE	46.92	44.95	93.84	89.9	2696	2601	5297	2188	1696	3884	46.92	44.95
1	-	FALSE	48.25	43.21	96.5	86.42	2496	2517	5013	2005	1591	3596	48.25	43.21
1	-	FALSE	50.64	42.88	101.28	85.76	2541	2641	5182	2237	1670	3907	50.64	42.88
1	-	FALSE	47.87	42.28	95.74	84.56	2151	1990	4142	2311	1744	4054	47.87	42.28
1	-	FALSE	50.27	44.27	100.54	88.54	2152	2303	4456	2107	1682	3789	50.27	44.27
1	-	FALSE	45.37	37.33	90.74	74.66	2841	2351	5191	2788	1772	4560	45.37	37.33
1	-	FALSE	42.22	41.19	84.44	82.38	2940	2330	5270	2646	1975	4621	42.22	41.19
1	-	FALSE	47.68	47.6	95.36	95.2	1992	1865	3856	1767	1592	3359	47.68	47.6
1	-	FALSE	43.84	40.63	87.68	81.26	2414	1890	4304	2152	1539	3691	43.84	40.63
1	-	FALSE	55.57	45.13	111.14	90.26	1469	2159	3628	1133	1248	2381	55.57	45.13
1	-	FALSE	44.57	41.64	89.14	83.28	2581	2210	4791	2310	1633	3943	44.57	41.64
1	-	FALSE	51.58	42.57	103.16	85.14	2998	3243	6241	2483	1940	4423	51.58	42.57
1	-	FALSE	48.93	45.25	97.86	90.5	2464	2417	4880	1961	1689	3650	48.93	45.25
1	-	FALSE	46.23	43.27	92.46	86.54	2808	2422	5230	1994	1488	3482	46.23	43.27
1	-	FALSE	48.05	42.36	96.1	84.72	2709	2441	5151	2611	1980	4591	48.05	42.36
1	-	FALSE	42.7	36.2	85.4	72.4	2111	2171	4282	1509	944	2453	42.7	36.2
1	-	FALSE	49.25	44.91	98.5	89.82	3067	3134	6201	2277	1884	4161	49.25	44.91
1	-	FALSE	44.59	41.17	89.18	82.34	1805	1376	3181	1228	914	2142	44.59	41.17
1	-	FALSE	50.15	43.36	100.3	86.72	2966	2600	5566	2635	2100	4736	50.15	43.36
1	-	FALSE	44.92	42.68	89.84	85.36	3454	2681	6135	2813	2203	5016	44.92	42.68
1	-	FALSE	46.88	43.93	93.76	87.86	2895	2494	5389	1892	1592	3484	46.88	43.93
1	-	FALSE	40.37	38.16	80.74	76.32	3286	2524	5810	3200	2092	5292	40.37	38.16
1	-	FALSE	46.74	40.3	93.48	80.6	2352	2085	4437	2155	1459	3614	46.74	40.3
1	-	FALSE	46.45	45.03	92.9	90.06	2046	1711	3757	1349	942	2292	46.45	45.03
1	-	FALSE	46.95	41.04	93.9	82.08	2163	2318	4481	1735	1419	3154	46.95	41.04
1	-	FALSE	48.86	44.26	97.72	88.52	2662	2376	5038	2124	1641	3764	48.86	44.26
2	-	FALSE	25.04	0.48	50.08	0.96	NA	NA	NA	NA	NA	NA	25.04	0.48
2	-	FALSE	21.75	0.27	43.5	0.54	NA	NA	NA	NA	NA	NA	21.75	0.27
2	-	FALSE	25.7	0.24	51.4	0.48	NA	NA	NA	NA	NA	NA	25.7	0.24
2	-	FALSE	24.89	0.24	49.78	0.48	NA	NA	NA	NA	NA	NA	24.89	0.24
3	-	FALSE	15.82	40.04	31.64	80.08	5723	998	6720	2597	1706	4304	15.82	40.04
3	-	FALSE	16	39.87	32	79.74	3282	585	3867	1950	1282	3231	16	39.87
3	-	FALSE	20.68	42.47	41.36	84.94	3495	975	4471	1939	1580	3519	20.68	42.47
4	-	FALSE	2.85	41.32	5.7	82.64	4715	124	4839	2242	1563	3805	2.85	41.32
4	-	FALSE	2.39	37.82	4.78	75.64	5094	73	5167	2087	1235	3322	2.39	37.82
4	-	FALSE	5.11	43.48	10.22	86.96	4399	199	4599	2208	1416	3624	5.11	43.48
5	MYO18B	TRUE	0.19	45.71	0.38	91.42	3762	5	3767	2003	1595	3598	0.19	45.71
5	ETV6	TRUE	0.01	38.8	0.02	77.6	5038	1	5039	2067	1362	3429	0.01	38.8
5	-	FALSE	0.04	38.93	0.08	77.86	6348	5	6354	2540	1769	4310	0.04	38.93
5	-	FALSE	0.01	30.47	0.02	60.94	5108	2	5109	2770	1120	3890	0.01	30.47
5	-	FALSE	0	39.23	0	78.46	6188	0	6189	2598	1686	4284	0	39.23
5	-	FALSE	0.01	45.07	0.02	90.14	4148	1	4148	2373	1625	3998	0.01	45.07
5	-	FALSE	0.02	33.68	0.04	67.36	4846	3	4848	270	159	429	0.02	33.68
5	-	FALSE	0.02	35.43	0.04	70.86	3944	2	3946	1985	1165	3151	0.02	35.43
5	-	FALSE	0.04	45.1	0.08	90.2	5973	1	5974	121	NA	NA	0.04	45.1
5	-	FALSE	0.04	41.36	0.08	82.72	6403	4	6407	2195	1485	3680	0.04	41.36
5	-	FALSE	0.03	42.36	0.06	84.72	3963	3	3966	2531	2009	4541	0.03	42.36
5	-	FALSE	0.07	39.37	0.14	78.74	5579	5	5583	2971	1954	4925	0.07	39.37
5	-	FALSE	0.01	37.75	0.02	75.5	6566	2	6568	2072	1313	3386	0.01	37.75
5	-	FALSE	0.03	40.79	0.06	81.58	5155	0	5155	2312	1513	3825	0.03	40.79
5	-	FALSE	0.03	40.9	0.06	81.8	5363	1	5364	2339	1619	3958	0.03	40.9
5	-	FALSE	0.05	36.46	0.1	72.92	5326	3	5329	2334	1390	3724	0.05	36.46
5	-	FALSE	0.03	38.26	0.06	76.52	5930	3	5932	3310	2196	5506	0.03	38.26
5	-	FALSE	0.03	25.91	0.06	51.82	4235	4	4239	2092	1180	3272	0.03	25.91
5	-	FALSE	0.05	40.85	0.1	81.7	3611	5	3616	1055	833	1888	0.05	40.85
5	-	FALSE	0.12	38.2	0.24	76.4	4996	4	5000	2188	1436	3623	0.12	38.2
5	-	FALSE	0.03	39.11	0.06	78.22	5709	2	5710	3286	2184	5471	0.03	39.11
5	-	FALSE	0.09	39.65	0.18	79.3	4016	3	4019	1667	1112	2780	0.09	39.65
5	-	FALSE	0.03	44.52	0.06	89.04	5716	1	5717	2272	1721	3993	0.03	44.52
5	-	FALSE	0.04	39.36	0.08	78.72	5092	2	5094	1716	1186	2902	0.04	39.36
5	-	FALSE	0.01	34.17	0.02	68.34	4480	1	4481	2223	1231	3454	0.01	34.17
5	-	FALSE	0.04	41.06	0.08	82.12	4366	4	4371	2351	1641	3992	0.04	41.06
5	-	FALSE	0.01	38.26	0.02	76.52	5054	1	5055	2576	1743	4319	0.01	38.26
5	-	FALSE	0	41.51	0	83.02	5590	1	5590	2264	1591	3855	0	41.51
5	-	FALSE	0.11	40.69	0.22	81.38	5502	1	5503	2428	1659	4087	0.11	40.69
5	-	FALSE	0.11	42.1	0.22	84.2	3561	6	3567	1468	1117	2584	0.11	42.1
5	-	FALSE	0.01	25.03	0.02	50.06	5431	1	5433	2680	1011	3692	0.01	25.03
5	-	FALSE	0.05	42.75	0.1	85.5	4392	3	4395	2189	1518	3707	0.05	42.75
5	-	FALSE	0	42.65	0	85.3	5081	0	5081	1926	1355	3281	0	42.65
5	-	FALSE	0.15	37.27	0.3	74.54	5311	8	5318	1915	1152	3067	0.15	37.27
5	-	FALSE	0.05	38.18	0.1	76.36	4565	1	4566	2624	1815	4438	0.05	38.18
5	-	FALSE	0.09	40.38	0.18	80.76	5440	4	5443	2041	1518	3559	0.09	40.38
5	-	FALSE	0.01	38.98	0.02	77.96	5604	1	5605	2925	1855	4780	0.01	38.98
5	-	FALSE	0.07	41.91	0.14	83.82	5217	7	5224	2388	1823	4211	0.07	41.91
5	-	FALSE	0	36.59	0	73.18	5502	0	5503	2434	1203	3638	0	36.59
5	-	FALSE	0.07	40.11	0.14	80.22	4231	2	4233	1635	1130	2764	0.07	40.11
5	-	FALSE	0.03	44.79	0.06	89.58	4131	4	4135	794	637	1432	0.03	44.79
5	-	FALSE	0	31.93	0	63.86	4600	0	4601	2701	1249	3951	0	31.93
5	-	FALSE	0.21	42.39	0.42	84.78	5080	2	5082	2667	1933	4600	0.21	42.39
5	-	FALSE	0.1	40.82	0.2	81.64	4437	1	4439	2343	1842	4185	0.1	40.82
5	-	FALSE	0.12	40.85	0.24	81.7	4442	6	4448	1575	1085	2660	0.12	40.85
5	-	FALSE	0.12	41.54	0.24	83.08	5652	4	5656	3227	2393	5620	0.12	41.54
5	-	FALSE	0.01	41.95	0.02	83.9	3815	2	3817	1277	953	2230	0.01	41.95
5	-	FALSE	0.13	40.41	0.26	80.82	5449	8	5457	1902	1360	3262	0.13	40.41
5	-	FALSE	3.95	47	7.9	94	NA	NA	NA	1245	820	2065	3.95	47
5	-	FALSE	0.06	35.67	0.12	71.34	4057	1	4058	2152	1149	3301	0.06	35.67
5	-	FALSE	0.13	42.56	0.26	85.12	5437	9	5447	1862	1400	3262	0.13	42.56
5	-	FALSE	0.05	37.9	0.1	75.8	4311	3	4314	1970	1345	3315	0.05	37.9
5	-	FALSE	0.04	32.54	0.08	65.08	5215	5	5220	2213	1212	3425	0.04	32.54
5	-	FALSE	0.02	42.96	0.04	85.92	3011	2	3013	1635	1215	2851	0.02	42.96
5	-	FALSE	0.09	36.7	0.18	73.4	5404	3	5407	2292	1460	3751	0.09	36.7
5	-	FALSE	0.01	37.18	0.02	74.36	1473	0	1474	475	301	776	0.01	37.18
5	-	FALSE	0.03	40.88	0.06	81.76	6355	4	6359	2363	1487	3850	0.03	40.88
5	-	FALSE	0.02	36.29	0.04	72.58	5417	2	5419	2359	1525	3884	0.02	36.29
5	-	FALSE	0	38.54	0	77.08	5801	1	5802	3090	1916	5006	0	38.54
5	-	FALSE	0.03	37.18	0.06	74.36	4723	1	4724	2159	1330	3489	0.03	37.18
5	-	FALSE	0.05	39.4	0.1	78.8	4792	7	4799	2130	1358	3487	0.05	39.4
5	-	FALSE	0.22	43.04	0.44	86.08	5325	17	5341	2163	1713	3876	0.22	43.04
5	-	FALSE	0.01	39.68	0.02	79.36	5442	0	5442	2625	1622	4247	0.01	39.68
